1.20711 0.5 -0.5
0.5 1.20711 -0.5
-0.5 1.20711 -0.5
-1.20711 0.5 -0.5
-1.20711 -0.5 -0.5
-0.5 -1.20711 -0.5
0.5 -1.20711 -0.5
1.20711 -0.5 -0.5
1.20711 0.5 -0.5
1.20711 0.5 0.5
0.5 1.20711 0.5
-0.5 1.20711 0.5
-1.20711 0.5 0.5
-1.20711 -0.5 0.5
-0.5 -1.20711 0.5
0.5 -1.20711 0.5
1.20711 -0.5 0.5
1.20711 0.5 0.5
0.5 1.20711 0.5
0.5 1.20711 -0.5
-0.5 1.20711 -0.5
-0.5 1.20711 0.5
-1.20711 0.5 0.5
-1.20711 0.5 -0.5
-1.20711 -0.5 -0.5
-1.20711 -0.5 0.5
-0.5 -1.20711 0.5
-0.5 -1.20711 -0.5
0.5 -1.20711 -0.5
0.5 -1.20711 0.5
1.20711 -0.5 0.5
1.20711 -0.5 -0.5
1.20711 0.5 -0.5
